"Name","scanSplit","Encoder_Validation_R2","noDecoder","allScans"
"scansFINALSWEEP_annNOVAL_10_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","10","0.8592179443670397","false","false"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","10","0.8580239724943555","true","true"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","10","0.7678502046924459","true","true"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","10","0.8231097817670845","true","true"
"scansFINALSWEEP_annVAL_10_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","10","0.7954085470930297","false","true"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","10","0.7909961267181616","true","true"
"scansFINALSWEEP_annNOVAL_10_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","10","0.8826315005023003","false","false"
"scansFINALSWEEP_annVAL_10_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","10","0.861758687286125","false","true"
"scansFINALSWEEP_annNOVAL_10_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","10","0.8297832191482419","false","false"
"scansFINALSWEEP_ND_10_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","10","0.859367601566315","true","true"
"scansFINALSWEEP_annVAL_10_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","10","0.8599142934377617","false","true"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","5","0.8073791682881231","true","true"
"scansFINALSWEEP_annVAL_5_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","5","0.7216108402617345","false","true"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","5","0.7971218595769715","true","true"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","5","0.75554004571963","true","true"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","5","0.7589427083462779","true","true"
"scansFINALSWEEP_annNOVAL_5_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","5","0.7777625510339115","false","false"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","5","0.8283282732910549","true","true"
"scansFINALSWEEP_annVAL_5_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","5","0.7864981931532096","false","true"
"scansFINALSWEEP_annNOVAL_5_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","5","0.7931175031626918","false","false"
"scansFINALSWEEP_annVAL_5_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","5","0.8381129862822356","false","true"
"scansFINALSWEEP_annNOVAL_5_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","5","0.8624409416103452","false","false"
"scansFINALSWEEP_ND_5_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","5","0.7413735844414315","true","true"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","0","0.8753390790207184","true","true"
"scansFINALSWEEP_annVAL_0_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","0","0.8750780585206688","false","true"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","0","0.8847125413733599","true","true"
"scansFINALSWEEP_annVAL_0_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","0","0.9104163314711524","false","true"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","0","0.8948744022883133","true","true"
"scansFINALSWEEP_annNOVAL_0_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","0","0.8877834344508667","false","false"
"scansFINALSWEEP_annNOVAL_0_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","0","0.8777742014928986","false","false"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","0","0.9011412647973324","true","true"
"scansFINALSWEEP_annVAL_0_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","0","0.8947125935128294","false","true"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","0","0.8764628328284676","true","true"
"scansFINALSWEEP_annNOVAL_0_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","0","0.902319765948516","false","false"
"scansFINALSWEEP_ND_0_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","0","0.876425820780913","true","true"
